gvkey,datadate,IBES_covered
001230,2018-12-31,TRUE
001230,2019-12-31,TRUE
001239,2008-09-30,TRUE
001239,2009-09-30,TRUE
001240,1985-01-31,TRUE
001240,1986-01-31,TRUE
001240,1987-01-31,TRUE
001240,1988-01-31,TRUE
001240,1989-01-31,TRUE
001240,1990-01-31,TRUE
001240,1991-01-31,TRUE
001240,1992-01-31,TRUE
001240,1993-01-31,TRUE
001240,1994-01-31,TRUE
001240,1995-01-31,TRUE
001240,1996-01-31,TRUE
001240,1997-01-31,TRUE
001240,1998-01-31,TRUE
001240,1999-01-31,TRUE
001240,2000-01-31,TRUE
001240,2001-01-31,TRUE
001240,2002-01-31,TRUE
001240,2003-01-31,TRUE
001240,2004-01-31,TRUE
001240,2005-01-31,TRUE
001244,1999-05-31,TRUE
001246,1998-09-30,TRUE
001246,1999-09-30,TRUE
001246,2000-09-30,TRUE
001246,2001-09-30,TRUE
001246,2002-09-30,TRUE
001246,2003-09-30,TRUE
001246,2004-09-30,TRUE
001246,2005-09-30,TRUE
001246,2006-09-30,TRUE
001246,2007-09-30,TRUE
001253,1985-12-31,TRUE
001253,1986-12-31,TRUE
001253,1987-12-31,TRUE
001253,1989-12-31,TRUE
001253,1990-12-31,TRUE
001253,1991-12-31,TRUE
001253,1992-12-31,TRUE
001253,1993-12-31,TRUE
001253,1994-12-31,TRUE
001254,2013-12-31,TRUE
001254,2014-12-31,TRUE
001254,2015-12-31,TRUE
001254,2016-12-31,TRUE
001254,2017-12-31,TRUE
001254,2018-12-31,TRUE
001254,2019-12-31,TRUE
001255,1993-12-31,TRUE
001255,1994-12-31,TRUE
001257,1986-07-31,TRUE
001259,2005-07-31,TRUE
001259,2006-07-31,TRUE
001274,1984-12-31,TRUE
001274,1988-12-31,TRUE
001274,1990-12-31,TRUE
001274,1991-12-31,TRUE
001274,1992-12-31,TRUE
001274,1993-12-31,TRUE
001274,1994-12-31,TRUE
001274,1995-12-31,TRUE
001274,1997-12-31,TRUE
001274,1998-12-31,TRUE
001274,2004-12-31,TRUE
001274,2008-12-31,TRUE
001274,2009-12-31,TRUE
001274,2010-12-31,TRUE
001274,2012-12-31,TRUE
001274,2013-12-31,TRUE
001274,2014-12-31,TRUE
001274,2015-12-31,TRUE
001274,2016-12-31,TRUE
001274,2017-12-31,TRUE
001274,2018-12-31,TRUE
001274,2019-12-31,TRUE
001278,1993-12-31,TRUE
001278,1994-12-31,TRUE
001278,1995-12-31,TRUE
001278,1996-12-31,TRUE
001278,1997-12-31,TRUE
001278,1998-12-31,TRUE
001279,1998-12-31,TRUE
001279,1999-12-31,TRUE
001279,2000-12-31,TRUE
001279,2001-12-31,TRUE
001279,2002-12-31,TRUE
001279,2004-12-31,TRUE
001279,2005-12-31,TRUE
001279,2006-12-31,TRUE
001279,2007-12-31,TRUE
001279,2008-12-31,TRUE
001279,2009-12-31,TRUE
001281,1998-12-31,TRUE
001281,1999-12-31,TRUE
001281,2001-12-31,TRUE
001297,1983-12-31,TRUE
001297,1984-12-31,TRUE
001297,1985-12-31,TRUE
001297,1986-12-31,TRUE
001297,1987-12-31,TRUE
001297,1988-12-31,TRUE
001297,1989-12-31,TRUE
001297,1990-12-31,TRUE
001297,1991-12-31,TRUE
001297,1993-12-31,TRUE
001297,1994-12-31,TRUE
001297,1995-12-31,TRUE
001297,1996-12-31,TRUE
001297,1997-12-31,TRUE
001297,1998-12-31,TRUE
001300,2000-12-31,TRUE
001300,2001-12-31,TRUE
001300,2002-12-31,TRUE
001300,2003-12-31,TRUE
001300,2004-12-31,TRUE
001300,2005-12-31,TRUE
001300,2006-12-31,TRUE
001300,2007-12-31,TRUE
001300,2008-12-31,TRUE
001300,2009-12-31,TRUE
001300,2010-12-31,TRUE
001300,2011-12-31,TRUE
001300,2012-12-31,TRUE
001300,2013-12-31,TRUE
001300,2014-12-31,TRUE
001300,2015-12-31,TRUE
001300,2016-12-31,TRUE
001300,2017-12-31,TRUE
001300,2018-12-31,TRUE
001300,2019-12-31,TRUE
001308,2005-12-31,TRUE
001308,2006-12-31,TRUE
001308,2007-12-31,TRUE
001308,2008-12-31,TRUE
001311,1993-12-31,TRUE
001318,1984-12-31,TRUE
001318,1985-12-31,TRUE
001318,1986-12-31,TRUE
001318,1987-12-31,TRUE
001318,1988-12-31,TRUE
001318,1989-12-31,TRUE
001318,1990-12-31,TRUE
001318,1991-12-31,TRUE
001318,1992-12-31,TRUE
001318,1993-12-31,TRUE
001318,1994-12-31,TRUE
001318,1995-12-31,TRUE
001318,1996-12-31,TRUE
001318,1997-12-31,TRUE
001318,1998-12-31,TRUE
001318,1999-12-31,TRUE
001318,2000-12-31,TRUE
001318,2001-12-31,TRUE
001318,2002-12-31,TRUE
001318,2003-12-31,TRUE
001318,2004-12-31,TRUE
001318,2005-12-31,TRUE
001327,2004-09-30,TRUE
001327,2005-09-30,TRUE
001327,2006-09-30,TRUE
001327,2007-09-30,TRUE
001327,2008-09-30,TRUE
001327,2009-09-30,TRUE
001327,2010-09-30,TRUE
001327,2011-09-30,TRUE
001327,2012-09-30,TRUE
001327,2013-09-30,TRUE
001327,2014-09-30,TRUE
001327,2015-09-30,TRUE
001327,2016-09-30,TRUE
001327,2017-09-30,TRUE
001327,2018-09-30,TRUE
001327,2019-09-30,TRUE
001327,2020-09-30,TRUE
001331,1988-04-30,TRUE
001331,1996-04-30,TRUE
001331,1997-04-30,TRUE
001331,1998-04-30,TRUE
001331,1999-04-30,TRUE
001351,1986-12-31,TRUE
001351,1987-12-31,TRUE
001351,1988-12-31,TRUE
001351,1989-12-31,TRUE
001351,1994-12-31,TRUE
001351,1995-12-31,TRUE
001351,1996-12-31,TRUE
001359,1984-12-31,TRUE
001359,1985-12-31,TRUE
001359,1986-12-31,TRUE
001359,1987-12-31,TRUE
001359,1988-12-31,TRUE
001359,1989-12-31,TRUE
001359,1990-12-31,TRUE
001359,1991-12-31,TRUE
001359,1992-12-31,TRUE
001359,1993-12-31,TRUE
001359,1994-12-31,TRUE
001359,1995-12-31,TRUE
001359,1996-12-31,TRUE
001359,1997-12-31,TRUE
001359,1998-12-31,TRUE
001359,1999-12-31,TRUE
001365,1990-12-31,TRUE
001365,1991-12-31,TRUE
001372,1986-08-31,TRUE
001372,1987-08-31,TRUE
001372,1988-08-31,TRUE
001372,1989-08-31,TRUE
001372,1990-08-31,TRUE
001372,1991-08-31,TRUE
001372,1992-08-31,TRUE
001372,1993-08-31,TRUE
001372,1994-08-31,TRUE
001372,1995-08-31,TRUE
001372,1996-08-31,TRUE
001372,1997-08-31,TRUE
001372,1998-08-31,TRUE
001372,1999-08-31,TRUE
001372,2000-08-31,TRUE
001380,2007-12-31,TRUE
001380,2008-12-31,TRUE
001380,2009-12-31,TRUE
001380,2010-12-31,TRUE
001380,2011-12-31,TRUE
001380,2012-12-31,TRUE
001380,2013-12-31,TRUE
001380,2014-12-31,TRUE
001380,2015-12-31,TRUE
001380,2016-12-31,TRUE
001380,2017-12-31,TRUE
001380,2018-12-31,TRUE
001380,2019-12-31,TRUE
001382,1986-12-31,TRUE
001382,1987-12-31,TRUE
001382,1988-12-31,TRUE
001382,1989-12-31,TRUE
001382,1990-12-31,TRUE
001382,1991-12-31,TRUE
001382,1992-12-31,TRUE
001382,1998-12-31,TRUE
001382,1999-12-31,TRUE
001382,2000-12-31,TRUE
001382,2001-12-31,TRUE
001382,2002-12-31,TRUE
001382,2003-12-31,TRUE
001382,2004-12-31,TRUE
001382,2005-12-31,TRUE
001382,2006-12-31,TRUE
001382,2007-12-31,TRUE
001382,2008-12-31,TRUE
001382,2009-12-31,TRUE
001382,2010-12-31,TRUE
001382,2011-12-31,TRUE
001392,1984-12-31,TRUE
001392,1985-12-31,TRUE
001392,1986-12-31,TRUE
001392,1987-12-31,TRUE
001392,1988-12-31,TRUE
001392,1989-12-31,TRUE
001392,1990-12-31,TRUE
001392,1991-12-31,TRUE
001392,1992-12-31,TRUE
001392,1993-12-31,TRUE
001392,1994-12-31,TRUE
001392,1995-12-31,TRUE
001393,1996-03-31,TRUE
001393,1997-03-31,TRUE
001393,1998-03-31,TRUE
001393,2000-03-31,TRUE
001393,2003-03-31,TRUE
001393,2005-03-31,TRUE
001393,2006-03-31,TRUE
001393,2007-03-31,TRUE
001393,2008-03-31,TRUE
001393,2009-03-31,TRUE
001393,2010-03-31,TRUE
001393,2011-03-31,TRUE
001393,2012-03-31,TRUE
001393,2013-03-31,TRUE
001393,2014-03-31,TRUE
001393,2015-03-31,TRUE
001393,2016-03-31,TRUE
001393,2017-03-31,TRUE
001393,2018-03-31,TRUE
001393,2019-03-31,TRUE
001393,2020-03-31,TRUE
001408,2012-12-31,TRUE
001410,1997-10-31,TRUE
001410,1998-10-31,TRUE
001410,1999-10-31,TRUE
001410,2000-10-31,TRUE
001410,2001-10-31,TRUE
001410,2002-10-31,TRUE
001410,2003-10-31,TRUE
001410,2005-10-31,TRUE
001410,2006-10-31,TRUE
001410,2007-10-31,TRUE
001410,2008-10-31,TRUE
001410,2009-10-31,TRUE
001410,2010-10-31,TRUE
001410,2011-10-31,TRUE
001410,2012-10-31,TRUE
001410,2013-10-31,TRUE
001410,2014-10-31,TRUE
001410,2015-10-31,TRUE
001410,2016-10-31,TRUE
001410,2017-10-31,TRUE
001410,2018-10-31,TRUE
001410,2019-10-31,TRUE
001410,2020-10-31,TRUE
001411,1987-12-31,TRUE
001411,1988-12-31,TRUE
001411,1989-12-31,TRUE
001411,1990-12-31,TRUE
001411,1991-12-31,TRUE
001411,1992-12-31,TRUE
001411,1993-12-31,TRUE
001411,1994-12-31,TRUE
001411,1995-12-31,TRUE
001411,1996-12-31,TRUE
001411,1997-12-31,TRUE
001411,1998-12-31,TRUE
